First Name,Surname,Country,Specialism,Reserve Price Rs Lakh, C A U
T,Ravi Teja,India,ALL_ROUNDERS,20,Uncapped
Dhruva Kumar  ,Reddy,India,ALL_ROUNDERS,20,Uncapped
Sumit,Ruikar,India,ALL_ROUNDERS,20,Uncapped
Aaron,Hardie,Australia,ALL_ROUNDERS,20,Uncapped
Jatin,Saxena,India,ALL_ROUNDERS,20,Uncapped
Ekant,Sen,India,ALL_ROUNDERS,20,Uncapped
Kshitiz,Sharma,India,ALL_ROUNDERS,20,Uncapped
Mrinank,Singh,India,ALL_ROUNDERS,20,Uncapped
Mukesh Kumar,Singh,India,ALL_ROUNDERS,20,Uncapped
Vivek,Singh,India,ALL_ROUNDERS,20,Uncapped
Sanvir ,Singh,India,ALL_ROUNDERS,20,Uncapped
Shiva,Singh,India,ALL_ROUNDERS,20,Uncapped
Gurinder ,Singh,India,ALL_ROUNDERS,20,Uncapped
Utkarsh,Singh,India,ALL_ROUNDERS,20,Uncapped
Mayank,Dagar,India,ALL_ROUNDERS,20,Uncapped
Rassie,Van Der Dussen,South Africa,BATSMEN,50,Capped
Pranav,Gupta,India,BATSMEN,20,Uncapped
Harsh,Tyagi,India,ALL_ROUNDERS,20,Uncapped
